num_conf,seq_len,embed_dim,num_params,lr,batch_size,img_size,patch_size,depth,num_heads,embed_dim_scale,ff_mult,num_landmarks,val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,94.73,94.72,95.18,94.27,91.52,91.84,92.81,91.01,"(75, 71, 49, 31, 55, 73)"
2,168,64,162894,0.001,32,"(21, 256)","(1, 32)",3,4,2,4,32,92.45,92.41,93.1,91.8,88.57,88.99,91.18,87.26,"(27, 64, 55, 13, 48, 53)"
3,168,64,162894,0.0005,32,"(21, 256)","(1, 32)",3,4,2,4,32,90.76,90.7,91.15,90.36,90.38,90.89,90.03,91.83,"(67, 70, 59, 74, 40, 26)"
4,168,64,162894,0.0001,32,"(21, 256)","(1, 32)",3,4,2,4,32,88.35,88.31,86.98,89.71,86.83,87.05,88.24,86.11,"(51, 50, 63, 61, 74, 30)"
