val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
97.727,97.64699999999999,97.64699999999999,97.64699999999999,97.56899999999999,97.794,97.794,97.794,75
96.705,96.757,97.64699999999999,95.882,97.56899999999999,97.414,98.529,96.324,34
97.15899999999999,97.059,97.059,97.059,97.917,97.789,97.059,98.529,71
96.875,96.757,97.64699999999999,95.882,96.18100000000001,95.943,94.853,97.059,69
97.273,97.352,97.64699999999999,97.059,98.611,98.524,99.265,97.794,58
98.693,98.824,98.824,98.824,97.56899999999999,97.392,95.588,99.265,63
