val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
96.307,96.06099999999999,94.57799999999999,97.59,94.097,94.479,99.24199999999999,90.152,23
96.875,96.663,98.193,95.18100000000001,89.93100000000001,90.834,97.727,84.848,59
94.697,94.87100000000001,95.783,93.976,92.361,91.66,90.90899999999999,92.42399999999999,13
95.265,95.48100000000001,95.783,95.18100000000001,94.44399999999999,93.884,91.667,96.212,71
95.54899999999999,95.68799999999999,92.771,98.795,94.097,93.43599999999999,96.97,90.152,31
94.773,95.696,93.333,98.182,96.875,97.059,97.059,97.059,67
