val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
96.875,96.792,96.981,96.604,96.429,96.15,93.839,98.578,42
98.897,98.866,98.491,99.245,97.545,97.365,95.735,99.05199999999999,73
98.713,98.67899999999999,98.491,98.868,97.321,97.15599999999999,97.15599999999999,97.15599999999999,58
97.059,96.98,96.604,97.358,97.991,97.853,96.682,99.05199999999999,56
97.426,97.353,96.604,98.113,97.768,97.62100000000001,96.682,98.578,43
97.059,96.946,95.455,98.485,98.884,98.821,99.531,98.122,68
