val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.698,98.657,98.123,99.196,98.092,98.154,97.987,98.322,36
98.568,98.521,97.855,99.196,99.178,99.154,98.322,100.0,58
98.958,98.921,98.123,99.732,99.079,99.15899999999999,98.658,99.664,60
99.089,99.06099999999999,98.92800000000001,99.196,98.52,98.48700000000001,97.987,98.993,42
98.542,98.79299999999999,98.92800000000001,98.66,99.178,99.161,98.993,99.32900000000001,21
98.698,98.65899999999999,98.39099999999999,98.92800000000001,98.68400000000001,98.658,98.658,98.658,31
