val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
94.375,94.702,91.379,98.276,96.875,96.72699999999999,95.652,97.82600000000001,10
97.65599999999999,97.406,96.552,98.276,91.369,91.253,93.47800000000001,89.13,13
95.625,95.682,96.552,94.828,97.917,97.77799999999999,95.652,100.0,12
96.875,96.552,96.552,96.552,96.577,96.72699999999999,97.82600000000001,95.652,17
96.09400000000001,95.62,93.10300000000001,98.276,97.917,97.77799999999999,95.652,100.0,70
91.562,92.233,91.379,93.10300000000001,95.833,95.455,91.304,100.0,15
