val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.81,98.809,99.107,98.512,99.081,99.068,99.441,98.696,31
98.884,98.884,98.81,98.958,99.173,99.16199999999999,99.25500000000001,99.069,25
99.033,99.033,98.958,99.107,99.009,99.066,99.628,98.50999999999999,21
99.033,99.033,98.958,99.107,98.897,98.882,98.696,99.069,45
98.884,98.881,99.405,98.363,98.274,98.32300000000001,97.952,98.696,67
98.81,98.809,98.958,98.661,98.989,98.98,98.887,99.072,42
