val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
97.14699999999999,97.024,96.045,98.02300000000001,97.465,97.506,98.58200000000001,96.454,57
98.37,98.298,99.153,97.458,97.743,97.687,98.58200000000001,96.809,74
98.37,98.302,97.74000000000001,98.87,98.611,98.58200000000001,98.58200000000001,98.58200000000001,25
97.962,97.88,98.30499999999999,97.458,96.007,95.919,95.39,96.454,61
97.82600000000001,97.737,98.30499999999999,97.175,97.917,97.871,98.227,97.518,16
98.641,98.58,99.15,98.017,96.875,96.848,96.154,97.552,59
