val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
93.35900000000001,93.319,95.312,91.40599999999999,90.476,91.082,88.235,94.118,75
96.09400000000001,96.09400000000001,96.09400000000001,96.09400000000001,95.089,94.585,96.078,93.137,71
93.75,93.743,94.53099999999999,92.96900000000001,89.583,90.026,94.118,86.275,49
93.35900000000001,93.35799999999999,92.96900000000001,93.75,91.22,91.134,89.216,93.137,31
92.96900000000001,92.962,93.75,92.188,90.774,90.62,93.137,88.235,55
98.828,98.827,98.438,99.21900000000001,91.964,93.563,96.078,91.176,73
