val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.661,98.656,98.507,98.80600000000001,98.468,98.506,98.881,98.134,20
98.35300000000001,98.35300000000001,99.104,97.612,98.346,98.321,98.507,98.134,18
98.502,98.507,98.209,98.80600000000001,98.468,98.506,98.134,98.881,22
98.661,98.651,99.40299999999999,97.91,97.917,97.92999999999999,96.642,99.25399999999999,58
98.651,98.656,98.507,98.80600000000001,98.162,98.129,97.38799999999999,98.881,46
98.81,98.80600000000001,98.80600000000001,98.80600000000001,95.221,95.003,98.881,91.418,11
