val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
96.875,96.733,97.143,96.327,97.356,97.179,97.436,96.923,8
98.047,97.95700000000001,97.551,98.367,97.356,97.173,96.41,97.949,57
98.438,98.367,98.367,98.367,98.798,98.717,98.97399999999999,98.462,15
99.02300000000001,98.979,98.776,99.18400000000001,97.356,97.163,98.462,95.897,41
97.07000000000001,96.938,96.735,97.143,98.077,97.925,99.48700000000001,96.41,14
98.24199999999999,98.155,98.361,97.951,96.587,96.954,96.954,96.954,30
