val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.738,98.734,99.09599999999999,98.373,98.494,98.488,97.741,99.247,67
98.708,98.705,98.675,98.735,98.56899999999999,98.568,98.193,98.946,63
99.459,99.457,99.699,99.217,99.059,99.059,99.17200000000001,98.946,75
98.888,98.886,98.916,98.855,98.419,98.417,97.967,98.87,72
99.098,99.09599999999999,98.855,99.337,98.75699999999999,98.758,98.795,98.72,73
99.169,99.185,99.578,98.795,98.64500000000001,98.636,97.741,99.548,65
