num_conf,seq_len,embed_dim,num_params,lr,batch_size,img_size,patch_size,depth,num_heads,embed_dim_scale,ff_mult,num_landmarks,val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.56,98.85,99.05,98.64,97.33,97.3,97.17,97.46,"(47, 54, 13, 71, 27, 49)"
2,168,64,162894,0.001,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.19,99.16,99.37,98.96,98.96,98.93,99.1,98.76,"(45, 43, 18, 14, 10, 10)"
3,168,64,162894,0.0005,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.15,99.12,99.19,99.05,98.53,98.48,98.41,98.59,"(74, 60, 15, 24, 37, 57)"
4,168,64,162894,0.0001,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.95,98.92,98.96,98.87,98.42,98.41,97.96,98.87,"(48, 62, 67, 62, 51, 49)"
