val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.958,98.958,98.958,98.958,96.599,96.45700000000001,93.482,99.628,51
98.884,98.883,98.512,99.256,98.25399999999999,98.22,99.25500000000001,97.207,74
99.33,99.33,99.405,99.256,98.55000000000001,98.593,99.628,97.57900000000001,43
99.107,99.102,99.851,98.363,98.62100000000001,98.603,98.50999999999999,98.696,75
99.107,99.107,98.958,99.256,97.99799999999999,98.044,98.324,97.765,51
99.033,99.031,98.661,99.405,99.081,99.071,99.443,98.70100000000001,59
