val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
98.346,98.299,97.736,98.868,98.884,98.81,98.104,99.52600000000001,36
100.0,100.0,100.0,100.0,98.214,98.084,96.682,99.52600000000001,5
99.265,99.245,99.245,99.245,98.438,98.327,97.15599999999999,99.52600000000001,69
99.449,99.434,99.245,99.62299999999999,98.884,98.801,100.0,97.63,46
98.529,98.489,98.868,98.113,98.884,98.801,100.0,97.63,41
99.449,99.431,99.24199999999999,99.62100000000001,99.554,99.531,99.531,99.531,42
