num_conf,seq_len,embed_dim,num_params,lr,batch_size,img_size,patch_size,depth,num_heads,embed_dim_scale,ff_mult,num_landmarks,val_accuracy,val_hmean,val_sensitivity,val_specificity,test_accuracy,test_hmean,test_sensitivity,test_specificity,best_epoch
1,168,64,162894,0.005,32,"(21, 256)","(1, 32)",3,4,2,4,32,99.07,99.07,99.06,99.08,98.18,98.16,98.11,98.26,"(51, 74, 43, 75, 51, 59)"
2,168,64,162894,0.001,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.91,98.91,99.03,98.78,98.9,98.91,98.98,98.85,"(31, 25, 21, 45, 67, 42)"
3,168,64,162894,0.0005,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.8,98.8,98.78,98.81,98.48,98.49,98.39,98.6,"(63, 44, 74, 31, 67, 75)"
4,168,64,162894,0.0001,32,"(21, 256)","(1, 32)",3,4,2,4,32,98.52,98.52,98.41,98.64,98.02,98.01,97.52,98.51,"(61, 14, 58, 74, 74, 70)"
